buyer_id,name,buyer_type,district,verified_flag,payment_reliability_score,avg_payment_days,interested_crop,typical_need_tonnes,min_grade,phone
285,Om Dhage Traders,Retailer,Jalgaon,True,93,25,Sugarcane,0.9,B,
286,Jai Patil Trading Co.,Wholesaler,Satara,True,62,1,Soybean,2.6,B,
287,Jai Kale Agro Processing Pvt Ltd,Processor,Latur,True,86,19,Maize,11.4,B,
288,Vighnaharta Kshirsagar Agro Industries,Institutional Buyer,Pune,True,81,9,Pomegranate,15.4,B,
289,Siddhivinayak Ingle Exports LLP,Exporter,Aurangabad,True,84,5,Sugarcane,21.2,C,
290,Tuljabhavani Bhosale Traders,Retailer,Ahmednagar,True,99,13,Sugarcane,0.9,C,
291,Balaji Bhosale Trading Co.,Wholesaler,Dhule,False,88,17,Sugarcane,2.0,B,
292,Samarth Nikam Agro Processing Pvt Ltd,Processor,Kolhapur,True,65,7,Potato,38.6,B,
293,Bhagyalakshmi Shinde Agro Industries,Institutional Buyer,Aurangabad,True,82,15,Gram (Chana),23.6,B,
294,Balaji Chavan Exports LLP,Exporter,Kolhapur,False,71,3,Cotton,33.4,A,
295,Aditya Chavan Traders,Retailer,Akola,True,87,27,Sugarcane,0.5,C,
296,Bhagyalakshmi Gaikwad Trading Co.,Wholesaler,Ahmednagar,True,84,11,Potato,14.5,A,
297,Tuljabhavani Bhalerao Agro Processing Pvt Ltd,Processor,Jalgaon,True,71,28,Pomegranate,42.5,A,
298,Samarth Deore Agro Industries,Institutional Buyer,Jalgaon,True,83,13,Gram (Chana),6.7,C,
299,Aditya Pawar Exports LLP,Exporter,Jalgaon,True,81,4,Tomato,38.8,A,
300,Vighnaharta Shinde Traders,Retailer,Aurangabad,True,81,8,Soybean,0.8,A,
